"id","name","cases"
0,"United States",NA
1,"Alabama",NA
2,"Alaska",0
4,"Arizona",9
5,"Arkansas",6
6,"California",221
8,"Colorado",45
9,"Connecticut",5
10,"Delaware",1
11,"District of Columbia",NA
12,"Florida",35
13,"Georgia",31
15,"Hawaii",2
16,"Idaho",0
17,"Illinois",32
18,"Indiana",13
19,"Iowa",16
20,"Kansas",1
21,"Kentucky",10
22,"Louisiana",19
23,"Maine",0
24,"Maryland",12
25,"Massachusetts",108
26,"Michigan",2
27,"Minnesota",9
28,"Mississippi",1
29,"Missouri",1
30,"Montana",1
31,"Nebraska",10
32,"Nevada",14
33,"New Hampshire",6
34,"New Jersey",29
35,"New Mexico",5
36,"New York",328
37,"North Carolina",15
38,"North Dakota",1
39,"Ohio",5
40,"Oklahoma",2
41,"Oregon",24
42,"Pennsylvania",22
44,"Rhode Island",5
45,"South Carolina",12
46,"South Dakota",8
47,"Tennessee",18
48,"Texas",27
49,"Utah",5
50,"Vermont",2
51,"Virginia",17
53,"Washington",442
54,"West Virginia",0
55,"Wisconsin",8
56,"Wyoming",1
1001,"Autauga",NA
1003,"Baldwin",NA
1005,"Barbour",NA
1007,"Bibb",NA
1009,"Blount",NA
1011,"Bullock",NA
1013,"Butler",NA
1015,"Calhoun",NA
1017,"Chambers",NA
1019,"Cherokee",NA
1021,"Chilton",NA
1023,"Choctaw",NA
1025,"Clarke",NA
1027,"Clay",NA
1029,"Cleburne",NA
1031,"Coffee",NA
1033,"Colbert",NA
1035,"Conecuh",NA
1037,"Coosa",NA
1039,"Covington",NA
1041,"Crenshaw",NA
1043,"Cullman",NA
1045,"Dale",NA
1047,"Dallas",NA
1049,"Dekalb",NA
1051,"Elmore",NA
1053,"Escambia",NA
1055,"Etowah",NA
1057,"Fayette",NA
1059,"Franklin",NA
1061,"Geneva",NA
1063,"Greene",NA
1065,"Hale",NA
1067,"Henry",NA
1069,"Houston",NA
1071,"Jackson",NA
1073,"Jefferson",NA
1075,"Lamar",NA
1077,"Lauderdale",NA
1079,"Lawrence",NA
1081,"Lee",NA
1083,"Limestone",NA
1085,"Lowndes",NA
1087,"Macon",NA
1089,"Madison",NA
1091,"Marengo",NA
1093,"Marion",NA
1095,"Marshall",NA
1097,"Mobile",NA
1099,"Monroe",NA
1101,"Montgomery",NA
1103,"Morgan",NA
1105,"Perry",NA
1107,"Pickens",NA
1109,"Pike",NA
1111,"Randolph",NA
1113,"Russell",NA
1115,"St. Clair",NA
1117,"Shelby",NA
1119,"Sumter",NA
1121,"Talladega",NA
1123,"Tallapoosa",NA
1125,"Tuscaloosa",NA
1127,"Walker",NA
1129,"Washington",NA
1131,"Wilcox",NA
1133,"Winston",NA
2013,"Aleutians East Borough",NA
2016,"Aleutians West Census Area",NA
2020,"Anchorage Municipality",NA
2050,"Bethel Census Area",NA
2060,"Bristol Bay Borough",NA
2068,"Denali Borough",NA
2070,"Dillingham Census Area",NA
2090,"Fairbanks North Star Borough",NA
2100,"Haines Borough",NA
2105,"Hoonah-Angoon Census Area",NA
2110,"Juneau City and Borough",NA
2122,"Kenai Peninsula Borough",NA
2130,"Ketchikan Gateway Borough",NA
2150,"Kodiak Island Borough",NA
2164,"Lake and Peninsula Borough",NA
2170,"Matanuska-Susitna Borough",NA
2180,"Nome Census Area",NA
2185,"North Slope Borough",NA
2188,"Northwest Arctic Borough",NA
2195,"Petersburg Borough",NA
2198,"Prince of Wales-Hyder Census Area",NA
2220,"Sitka City and Borough",NA
2230,"Skagway Municipality",NA
2240,"Southeast Fairbanks Census Area",NA
2261,"Valdez-Cordova Census Area",NA
2270,"Wade Hampton Census Area",NA
2275,"Wrangell City and Borough",NA
2282,"Yakutat City and Borough",NA
2290,"Yukon-Koyukuk Census Area",NA
4001,"Apache",NA
4003,"Cochise",NA
4005,"Coconino",NA
4007,"Gila",NA
4009,"Graham",NA
4011,"Greenlee",NA
4012,"La Paz",NA
4013,"Maricopa",0
4015,"Mohave",NA
4017,"Navajo",NA
4019,"Pima",0
4021,"Pinal",0
4023,"Santa Cruz",NA
4025,"Yavapai",NA
4027,"Yuma",NA
5001,"Arkansas",NA
5003,"Ashley",NA
5005,"Baxter",NA
5007,"Benton",NA
5009,"Boone",NA
5011,"Bradley",NA
5013,"Calhoun",NA
5015,"Carroll",NA
5017,"Chicot",NA
5019,"Clark",NA
5021,"Clay",NA
5023,"Cleburne",NA
5025,"Cleveland",NA
5027,"Columbia",NA
5029,"Conway",NA
5031,"Craighead",NA
5033,"Crawford",NA
5035,"Crittenden",NA
5037,"Cross",NA
5039,"Dallas",NA
5041,"Desha",NA
5043,"Drew",NA
5045,"Faulkner",NA
5047,"Franklin",NA
5049,"Fulton",NA
5051,"Garland",NA
5053,"Grant",NA
5055,"Greene",NA
5057,"Hempstead",NA
5059,"Hot Spring",NA
5061,"Howard",NA
5063,"Independence",NA
5065,"Izard",NA
5067,"Jackson",NA
5069,"Jefferson",NA
5071,"Johnson",NA
5073,"Lafayette",NA
5075,"Lawrence",NA
5077,"Lee",NA
5079,"Lincoln",NA
5081,"Little River",NA
5083,"Logan",NA
5085,"Lonoke",NA
5087,"Madison",NA
5089,"Marion",NA
5091,"Miller",NA
5093,"Mississippi",NA
5095,"Monroe",NA
5097,"Montgomery",NA
5099,"Nevada",NA
5101,"Newton",NA
5103,"Ouachita",NA
5105,"Perry",NA
5107,"Phillips",NA
5109,"Pike",NA
5111,"Poinsett",NA
5113,"Polk",NA
5115,"Pope",NA
5117,"Prairie",NA
5119,"Pulaski",NA
5121,"Randolph",NA
5123,"St. Francis",NA
5125,"Saline",NA
5127,"Scott",NA
5129,"Searcy",NA
5131,"Sebastian",NA
5133,"Sevier",NA
