"id","name","cases"
"00","United States",NA
"01","Alabama",5
"02","Alaska",1
"04","Arizona",9
"05","Arkansas",6
"06","California",282
"08","Colorado",49
"09","Connecticut",11
"10","Delaware",4
"11","District of Columbia",NA
"12","Florida",50
"13","Georgia",42
"15","Hawaii",2
"16","Idaho",1
"17","Illinois",46
"18","Indiana",13
"19","Iowa",17
"20","Kansas",5
"21","Kentucky",14
"22","Louisiana",36
"23","Maine",1
"24","Maryland",18
"25","Massachusetts",123
"26","Michigan",16
"27","Minnesota",14
"28","Mississippi",1
"29","Missouri",2
"30","Montana",1
"31","Nebraska",13
"32","Nevada",17
"33","New Hampshire",6
"34","New Jersey",29
"35","New Mexico",10
"36","New York",421
"37","North Carolina",17
"38","North Dakota",1
"39","Ohio",13
"40","Oklahoma",2
"41","Oregon",30
"42","Pennsylvania",41
"44","Rhode Island",14
"45","South Carolina",13
"46","South Dakota",8
"47","Tennessee",26
"48","Texas",43
"49","Utah",9
"50","Vermont",2
"51","Virginia",30
"53","Washington",568
"54","West Virginia",0
"55","Wisconsin",19
"56","Wyoming",1
