"name","value"
"Alabama",0
"Alaska",0
"Arizona",9
"Arkansas",6
"California",221
"Colorado",45
"Connecticut",5
"Delaware",1
"Florida",35
"Georgia",31
"Hawaii",2
"Idaho",0
"Illinois",32
"Indiana",13
"Iowa",16
"Kansas",1
"Kentucky",10
"Louisiana",19
"Maine",0
"Maryland",12
"Massachusetts",108
"Michigan",2
"Minnesota",9
"Mississippi",1
"Missouri",1
"Montana",1
"Nebraska",10
"Nevada",14
"New Hampshire",6
"New Jersey",29
"New Mexico",5
"New York",328
"North Carolina",15
"North Dakota",1
"Ohio",5
"Oklahoma",2
"Oregon",24
"Pennsylvania",22
"Rhode Island",5
"South Carolina",12
"South Dakota",8
"Tennessee",18
"Texas",27
"Utah",5
"Vermont",2
"Virginia",17
"Washington",442
"West Virginia",0
"Wisconsin",8
"Wyoming",1
